联盟,排名,球队链接,球队,胜,负,胜率,胜差,主场,客场,分区,最近10场,连胜/连负,赛季
东部,1,https://nba.hupu.com/teams/pistons,活塞,20,5,80.0,0.0,11-2,8-3,5-3,15-5,119.6,2024-25
东部,2,https://nba.hupu.com/teams/knicks,尼克斯,17,7,70.8,2.5,13-1,4-6,5-1,13-7,120.5,2024-25
东部,3,https://nba.hupu.com/teams/celtics,凯尔特人,15,10,60.0,5.0,8-4,7-6,4-4,11-7,116.6,2024-25
东部,4,https://nba.hupu.com/teams/magic,魔术,15,10,60.0,5.0,10-4,5-6,5-2,12-8,117.8,2024-25
东部,5,https://nba.hupu.com/teams/76ers,76人,14,10,58.3,5.5,8-7,6-3,5-2,12-9,116.8,2024-25
东部,6,https://nba.hupu.com/teams/raptors,猛龙,15,11,57.7,5.5,8-6,7-5,3-4,13-7,115.8,2024-25
东部,7,https://nba.hupu.com/teams/cavaliers,骑士,15,11,57.7,5.5,9-6,6-5,6-0,12-8,119.0,2024-25
东部,8,https://nba.hupu.com/teams/heat,热火,14,11,56.0,6.0,10-3,4-8,2-3,8-6,121.7,2024-25
东部,9,https://nba.hupu.com/teams/hawks,老鹰,14,12,53.8,6.5,4-6,10-6,4-1,8-8,117.9,2024-25
东部,10,https://nba.hupu.com/teams/bucks,雄鹿,11,15,42.3,9.5,8-7,3-8,3-4,9-11,115.1,2024-25
东部,11,https://nba.hupu.com/teams/bulls,公牛,10,14,41.7,9.5,6-5,4-9,1-5,7-10,117.8,2024-25
东部,12,https://nba.hupu.com/teams/hornets,黄蜂,7,18,28.0,13.0,5-8,2-10,1-4,6-12,114.7,2024-25
东部,13,https://nba.hupu.com/teams/nets,篮网,6,18,25.0,13.5,2-10,4-8,1-7,5-13,109.5,2024-25
东部,14,https://nba.hupu.com/teams/pacers,步行者,6,19,24.0,14.0,5-8,1-11,2-5,4-10,111.0,2024-25
东部,15,https://nba.hupu.com/teams/wizards,奇才,3,20,13.0,16.0,2-9,1-11,1-3,2-16,113.0,2024-25
西部,1,https://nba.hupu.com/teams/thunder,雷霆,24,1,96.0,0.0,12-0,12-1,5-1,20-1,123.6,2024-25
西部,2,https://nba.hupu.com/teams/nuggets,掘金,18,6,75.0,5.5,6-4,12-2,2-1,13-5,125.5,2024-25
西部,3,https://nba.hupu.com/teams/rockets,火箭,16,6,72.7,6.5,8-2,8-4,2-2,9-5,120.6,2024-25
西部,4,https://nba.hupu.com/teams/lakers,湖人,17,7,70.8,6.5,7-4,10-3,2-2,12-5,118.3,2024-25
西部,5,https://nba.hupu.com/teams/spurs,马刺,17,7,70.8,6.5,9-2,8-5,7-0,11-6,120.1,2024-25
西部,6,https://nba.hupu.com/teams/timberwolves,森林狼,16,9,64.0,8.0,8-4,8-5,3-3,11-8,119.9,2024-25
西部,7,https://nba.hupu.com/teams/suns,太阳,14,11,56.0,10.0,8-4,6-7,5-2,13-10,114.8,2024-25
西部,8,https://nba.hupu.com/teams/warriors,勇士,13,13,50.0,11.5,7-4,6-9,3-1,10-8,113.7,2024-25
西部,9,https://nba.hupu.com/teams/grizzlies,灰熊,11,14,44.0,13.0,6-7,5-7,4-3,10-8,114.1,2024-25
西部,10,https://nba.hupu.com/teams/mavericks,独行侠,10,16,38.5,14.5,7-9,3-6,2-5,5-11,112.1,2024-25
西部,11,https://nba.hupu.com/teams/jazz,爵士,9,15,37.5,14.5,6-7,3-8,0-5,5-11,118.1,2024-25
西部,12,https://nba.hupu.com/teams/blazers,开拓者,9,16,36.0,15.0,3-6,6-10,3-3,7-11,117.5,2024-25
西部,13,https://nba.hupu.com/teams/kings,国王,6,19,24.0,18.0,3-8,3-11,1-3,4-16,111.2,2024-25
西部,14,https://nba.hupu.com/teams/clippers,快船,6,19,24.0,18.0,3-7,3-12,1-4,4-12,111.6,2024-25
西部,15,https://nba.hupu.com/teams/pelicans,鹈鹕,4,22,15.4,20.5,3-12,1-10,1-6,2-19,114.2,2024-25
