球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
波士顿凯尔特人,萨姆-豪瑟,https://nba.hupu.com/players/samhauser-152585.html,Sam Hauser,30,F,2.03米/6尺8,99公斤/218磅,1997-12-08,本年薪金：万美元,2024-25
波士顿凯尔特人,卢卡-加尔扎,https://nba.hupu.com/players/lukagarza-152595.html,Luka Garza,52,C,2.08米/6尺10,110公斤/243磅,1998-12-27,本年薪金：万美元,2024-25
波士顿凯尔特人,贝勒·沙伊尔曼,https://nba.hupu.com/players/baylorscheierman-153109.html,Baylor Scheierman,55,G,2.01米/6尺7,93公斤/205磅,2000-09-26,本年薪金：万美元,2024-25
波士顿凯尔特人,约什-米诺特,https://nba.hupu.com/players/joshminott-152871.html,Josh Minott,8,F,2.03米/6尺8,93公斤/205磅,2002-11-25,本年薪金：万美元,2024-25
波士顿凯尔特人,佩顿-普里查德,https://nba.hupu.com/players/paytonpritchard-152381.html,Payton Pritchard,11,G,1.88米/6尺2,88公斤/195磅,1998-01-28,本年薪金：万美元,2024-25
波士顿凯尔特人,泽维尔-蒂尔曼,https://nba.hupu.com/players/xaviertillman-152384.html,Xavier Tillman,26,F,2.06米/6尺9,111公斤/245磅,1999-01-12,本年薪金：万美元,2024-25
波士顿凯尔特人,内米亚斯-克塔,https://nba.hupu.com/players/neemiasqueta-152641.html,Neemias Queta,88,C,2.11米/6尺11,112公斤/248磅,1999-07-13,本年薪金：万美元,2024-25
波士顿凯尔特人,杰伦-布朗,https://nba.hupu.com/players/jaylenbrown-150166.html,Jaylen Brown,7,G-F,1.98米/6尺6,101公斤/223磅,1996-10-24,本年薪金：万美元,2024-25
波士顿凯尔特人,杰森-塔特姆,https://nba.hupu.com/players/jaysontatum-150433.html,Jayson Tatum,0,F-G,2.03米/6尺8,95公斤/210磅,1998-03-03,本年薪金：万美元,2024-25
波士顿凯尔特人,乔丹·沃尔什,https://nba.hupu.com/players/jordanwalsh-152998.html,Jordan Walsh,27,G,2.01米/6尺7,93公斤/205磅,2004-03-03,本年薪金：万美元,2024-25
波士顿凯尔特人,安芬尼-西蒙斯,https://nba.hupu.com/players/anferneesimons-150964.html,Anfernee Simons,4,G,1.91米/6尺3,82公斤/181磅,1999-06-08,本年薪金：万美元,2024-25
波士顿凯尔特人,雨果-冈萨雷斯,https://nba.hupu.com/players/hugogonzalez-153276.html,Hugo González,28,G,1.98米/6尺6,93公斤/205磅,2006-02-05,本年薪金：万美元,2024-25
波士顿凯尔特人,克里斯-布歇,https://nba.hupu.com/players/chrisboucher-150718.html,Chris Boucher,99,F,2.06米/6尺9,91公斤/200磅,1993-01-11,本年薪金：万美元,2024-25
波士顿凯尔特人,德里克-怀特,https://nba.hupu.com/players/derrickwhite-150480.html,Derrick White,9,G,1.93米/6尺4,86公斤/190磅,1994-07-02,本年薪金：万美元,2024-25
波士顿凯尔特人,阿马里-威廉姆斯,https://nba.hupu.com/players/amariwilliams-153305.html,Amari Williams,77,F-C,2.13米/7尺0,119公斤/262磅,2002-01-28,本年薪金：万美元,2024-25
波士顿凯尔特人,马克斯-舒尔加,https://nba.hupu.com/players/maxshulga-153306.html,Max Shulga,44,G,1.96米/6尺5,95公斤/210磅,2002-06-25,本年薪金：万美元,2024-25
波士顿凯尔特人,罗恩-哈珀,https://nba.hupu.com/players/ronharper-152815.html,Ron Harper,13,G-F,1.98米/6尺6,111公斤/245磅,2000-04-12,本年薪金：万美元,2024-25
